15111,-248,-22777
13575,-248,-21753
12295,-1272,-20985
11271,-1272,-20217
11015,-1528,-18937
10759,-2040,-16889
10247,-2040,-16121
9991,-2040,-15865
9991,-2808,-15353
7943,-3064,-14329
5639,-4088,-12793
3847,-7416,-10745
1287,-8696,-9209
-1017,-9721,-7673
-1529,-11257,-6905
-1785,-11001,-6393
-4345,-13049,-5369
-4601,-14073,-5369
-2297,-11257,-5369
-249,-9977,-5113
519,-9976,-5113
-761,-9721,-5113
-1785,-11257,-5625
-1785,-12281,-5881
-1273,-12281,-5881
263,-12280,-5881
1031,-12280,-5369
-505,-12281,-5369
-761,-12537,-6905
-761,-13049,-7673
-761,-13049,-6649
-505,-13561,-5625
7,-12536,-5881
-505,-12537,-6905
-505,-13049,-7161
-505,-13561,-7161
-249,-13817,-7161
1287,-13304,-7161
2567,-11256,-6649
1031,-11512,-6393
7,-12792,-6393
-249,-13305,-6905
7,-13048,-7673
1543,-11256,-7417
1287,-10744,-6137
-249,-12537,-5881
-761,-13049,-5625
-1017,-13049,-5881
-1529,-13049,-5881
-1273,-12793,-5369
-761,-14073,-5625
7,-13048,-6905
1031,-10744,-7161
-761,-10745,-6137
-1785,-12025,-5369
-1017,-12281,-5625
-1017,-12537,-7161
-1017,-10489,-7161
-1785,-9721,-5625
-2041,-11769,-5369
-2297,-12793,-5881
-3065,-12025,-5881
-1785,-11513,-5881
-505,-10745,-5881
-1273,-11001,-5625
-1529,-11257,-6137
-1529,-10489,-6649
-1785,-10489,-6905
-1785,-10745,-6393
-761,-9721,-5113
-505,-8953,-4857
-505,-8441,-5881
775,-8184,-6649
-761,-8953,-6649
-2297,-10745,-5881
-761,-13049,-5881
263,-12536,-5625
1799,-3320,-6905
5383,15112,-12792
11783,-30456,-22008
19975,-12792,-30712
22535,-8184,31752
17415,15368,20489
-5881,21255,26377
-29945,15623,-26871
29703,-8185,-15608
23047,15879,2312
11016,-23801,22279
10248,18951,31239
14088,9735,-31225
19464,7175,-30457
29192,12295,30471
-27384,22023,25351
-17144,-31225,16135
-7160,-21497,3335
-1016,-17145,-4857
263,-15608,-6649
263,-15864,-6905
2311,-16120,-7673
2823,-16632,-8441
2567,-16376,-8185
4615,-14584,-7929
4359,-14840,-7673
3847,-16888,-7929
4359,-17656,-7929
5127,-17400,-8185
6151,-17400,-8697
7175,-17400,-8697
6919,-17912,-8441
6919,-17656,-8953
7175,-17656,-9465
8711,-17400,-10489
9479,-17656,-11513
9479,-17656,-11513
9479,-17400,-11769
10247,-17400,-11769
12807,-15352,-11769
12807,-14840,-11513
11783,-15864,-13049
14087,-14072,-14585
15367,-12536,-14841
15111,-12280,-14841
14599,-12280,-14841
14343,-11512,-14329
14343,-10488,-12281
14343,-9976,-11001
14343,-8696,-10489
15623,-5624,-9721
16135,-4344,-9465
16391,-3576,-9721
16647,-1784,-9977
15879,-1272,-9721
